StationNames,Year,Month,Rainfall,StationIndex
Chittagong (IAP-Patenga),1973,6,407,6
Chittagong (IAP-Patenga),1973,7,407,6
Chittagong (IAP-Patenga),1973,8,276,6
Chittagong (IAP-Patenga),1973,9,551,6
Chittagong (IAP-Patenga),1973,10,225,6
Chittagong (IAP-Patenga),1973,11,259,6
Chittagong (IAP-Patenga),1973,12,40,6
Comilla,1973,1,10,7
Comilla,1973,2,30,7
Comilla,1973,3,53,7
Comilla,1973,4,72,7
Comilla,1973,5,445,7
Comilla,1973,6,489,7
Comilla,1973,7,332,7
Comilla,1973,8,138,7
Comilla,1973,9,127,7
Comilla,1973,10,198,7
Comilla,1973,11,160,7
Comilla,1973,12,0,7
CoxsBazar,1973,1,3,8
CoxsBazar,1973,2,4,8
CoxsBazar,1973,3,2,8
CoxsBazar,1973,4,6,8
CoxsBazar,1973,5,496,8
CoxsBazar,1973,6,790,8
CoxsBazar,1973,7,874,8
CoxsBazar,1973,8,463,8
CoxsBazar,1973,9,382,8
CoxsBazar,1973,10,242,8
CoxsBazar,1973,11,248,8
CoxsBazar,1973,12,13,8
Dhaka,1973,1,0,9
Dhaka,1973,2,21,9
Dhaka,1973,3,32,9
Dhaka,1973,4,131,9
Dhaka,1973,5,621,9
Dhaka,1973,6,414,9
Dhaka,1973,7,0,9
Dhaka,1973,8,238,9
Dhaka,1973,9,348,9
Dhaka,1973,10,128,9
Dhaka,1973,11,64,9
Dhaka,1973,12,86,9
Faridpur,1973,1,0,11
Faridpur,1973,2,9,11
Faridpur,1973,3,40,11
Faridpur,1973,4,250,11
Faridpur,1973,5,486,11
Faridpur,1973,6,431,11
Faridpur,1973,7,203,11
Faridpur,1973,8,472,11
Faridpur,1973,9,397,11
Faridpur,1973,10,207,11
Faridpur,1973,11,60,11
Faridpur,1973,12,44,11
Hatiya,1973,1,0,13
Hatiya,1973,2,0,13
Hatiya,1973,3,0,13
Hatiya,1973,4,0,13
Hatiya,1973,5,384,13
Hatiya,1973,6,335,13
Hatiya,1973,7,251,13
Hatiya,1973,8,366,13
